date,recommendation,position_size,price,new_position
2024-06-04,BUY,1,31.434,1
2024-06-05,HOLD,0,31.742,1
2024-06-06,SELL,-1,31.718,0
2024-06-07,HOLD,0,30.864,0
2024-06-10,HOLD,0,30.565,0
2024-06-11,BUY,1,31.025,1
2024-06-12,HOLD,0,31.452,1
2024-06-13,HOLD,0,32.072,1
2024-06-14,HOLD,0,32.46,1
2024-06-17,HOLD,0,32.002,1
2024-06-18,HOLD,0,32.373,1
2024-06-20,HOLD,0,32.067,1
2024-06-21,HOLD,0,32.094,1
2024-06-24,HOLD,0,32.38,1
2024-06-25,HOLD,0,32.265,1
2024-06-26,SELL,-1,31.622,0
2024-06-27,HOLD,0,31.891,0
2024-06-28,HOLD,0,30.819,0
2024-07-01,HOLD,0,30.325,0
2024-07-02,BUY,1,30.451,1
2024-07-03,HOLD,0,31.026,1
2024-07-05,HOLD,0,31.421,1
2024-07-08,HOLD,0,31.504,1
2024-07-09,HOLD,0,31.321,1
2024-07-10,HOLD,0,31.416,1
2024-07-11,HOLD,0,31.82,1
2024-07-12,HOLD,0,32.033,1
2024-07-15,HOLD,0,31.491,1
2024-07-16,HOLD,0,32.158,1
2024-07-17,SELL,-1,32.077,0
2024-07-18,HOLD,0,31.73,0
2024-07-19,HOLD,0,31.522,0
2024-07-22,BUY,1,31.323,1
2024-07-23,HOLD,0,31.209,1
2024-07-24,HOLD,0,30.748,1
2024-07-25,HOLD,0,31.197,1
2024-07-26,HOLD,0,31.437,1
2024-07-29,HOLD,0,31.7,1
2024-07-30,HOLD,0,31.953,1
2024-07-31,HOLD,0,32.662,1
2024-08-01,HOLD,0,32.835,1
2024-08-02,HOLD,0,34.209,1
2024-08-05,HOLD,0,34.503,1
2024-08-06,SELL,-1,33.596,0
2024-08-07,HOLD,0,33.008,0
2024-08-08,HOLD,0,32.75,0
2024-08-09,BUY,1,33.282,1
2024-08-12,HOLD,0,33.378,1
2024-08-13,HOLD,0,33.657,1
2024-08-14,HOLD,0,33.972,1
2024-08-15,HOLD,0,33.627,1
2024-08-16,HOLD,0,33.821,1
2024-08-19,HOLD,0,33.97,1
2024-08-20,HOLD,0,34.474,1
2024-08-21,HOLD,0,34.365,1
2024-08-22,HOLD,0,33.982,1
2024-08-23,HOLD,0,34.264,1
2024-08-26,HOLD,0,34.156,1
2024-08-27,HOLD,0,34.074,1
2024-08-28,HOLD,0,34.001,1
2024-08-29,HOLD,0,33.851,1
2024-08-30,HOLD,0,33.531,1
2024-09-03,HOLD,0,34.127,1
2024-09-04,HOLD,0,34.694,1
2024-09-05,HOLD,0,35.101,1
2024-09-06,HOLD,0,35.122,1
2024-09-09,HOLD,0,35.25,1
2024-09-10,HOLD,0,35.592,1
2024-09-11,HOLD,0,35.587,1
2024-09-12,HOLD,0,35.395,1
2024-09-13,HOLD,0,35.473,1
2024-09-16,HOLD,0,35.971,1
2024-09-17,HOLD,0,35.691,1
2024-09-18,HOLD,0,35.117,1
2024-09-19,HOLD,0,34.857,1
2024-09-20,HOLD,0,34.511,1
2024-09-23,HOLD,0,34.441,1
2024-09-24,HOLD,0,34.484,1
2024-09-25,HOLD,0,34.011,1
2024-09-26,HOLD,0,34.109,1
2024-09-27,HOLD,0,34.327,1
2024-09-30,HOLD,0,34.202,1
2024-10-01,HOLD,0,34.572,1
2024-10-02,HOLD,0,34.064,1
2024-10-03,HOLD,0,33.643,1
2024-10-04,HOLD,0,33.136,1
2024-10-07,HOLD,0,32.711,1
2024-10-08,HOLD,0,32.854,1
2024-10-09,HOLD,0,32.567,1
2024-10-10,HOLD,0,32.413,1
2024-10-11,HOLD,0,32.009,1
2024-10-15,HOLD,0,32.75,1
2024-10-16,HOLD,0,32.947,1
2024-10-17,HOLD,0,32.161,1
2024-10-18,HOLD,0,32.165,1
2024-10-21,SELL,-1,31.355,0
2024-10-22,SELL,-1,31.425,-1
2024-10-23,HOLD,0,31.304,-1
2024-10-24,HOLD,0,31.65,-1
2024-10-25,HOLD,0,31.456,-1
2024-10-28,HOLD,0,31.284,-1
2024-10-29,HOLD,0,31.527,-1
2024-10-30,BUY,1,31.562,0
2024-10-31,HOLD,0,31.792,0
2024-11-01,BUY,1,30.969,1
2024-11-04,HOLD,0,31.851,1
2024-11-05,HOLD,0,32.126,1
2024-11-06,HOLD,0,30.727,1
2024-11-07,HOLD,0,31.288,1
2024-11-08,HOLD,0,31.767,1
2024-11-12,HOLD,0,30.973,1
2024-11-13,HOLD,0,30.377,1
2024-11-14,HOLD,0,30.716,1
2024-11-15,HOLD,0,30.457,1
2024-11-18,HOLD,0,30.491,1
2024-11-19,SELL,-1,30.758,0
2024-11-20,BUY,1,30.64,1
2024-11-21,HOLD,0,30.621,1
2024-11-22,HOLD,0,30.736,1
2024-11-25,HOLD,0,31.696,1
2024-11-26,HOLD,0,31.601,1
2024-11-27,HOLD,0,31.949,1
2024-11-29,HOLD,0,32.539,1
2024-12-02,HOLD,0,32.579,1
2024-12-03,HOLD,0,32.289,1
2024-12-04,HOLD,0,32.795,1
