date,recommendation,position_size,price,new_position
2024-09-04,HOLD,0,34.694,0
2024-09-05,BUY,1,35.101,1
2024-09-06,HOLD,0,35.122,1
2024-09-09,HOLD,0,35.25,1
2024-09-10,HOLD,0,35.592,1
2024-09-11,HOLD,0,35.587,1
2024-09-12,HOLD,0,35.395,1
2024-09-13,HOLD,0,35.473,1
2024-09-16,HOLD,0,35.971,1
2024-09-17,HOLD,0,35.691,1
2024-09-18,HOLD,0,35.117,1
2024-09-19,HOLD,0,34.857,1
2024-09-20,HOLD,0,34.511,1
2024-09-23,HOLD,0,34.441,1
2024-09-24,HOLD,0,34.484,1
2024-09-25,HOLD,0,34.011,1
2024-09-26,HOLD,0,34.109,1
2024-09-27,HOLD,0,34.327,1
2024-09-30,HOLD,0,34.202,1
2024-10-01,HOLD,0,34.572,1
2024-10-02,HOLD,0,34.064,1
2024-10-03,HOLD,0,33.643,1
2024-10-04,HOLD,0,33.136,1
2024-10-07,HOLD,0,32.711,1
2024-10-08,HOLD,0,32.854,1
2024-10-09,HOLD,0,32.567,1
2024-10-10,HOLD,0,32.413,1
2024-10-11,HOLD,0,32.009,1
2024-10-15,HOLD,0,32.75,1
2024-10-16,HOLD,0,32.947,1
2024-10-17,HOLD,0,32.161,1
2024-10-18,HOLD,0,32.165,1
2024-10-21,SELL,-1,31.355,0
2024-10-22,SELL,-1,31.425,-1
2024-10-23,HOLD,0,31.304,-1
2024-10-24,HOLD,0,31.65,-1
2024-10-25,HOLD,0,31.456,-1
2024-10-28,HOLD,0,31.284,-1
2024-10-29,HOLD,0,31.527,-1
2024-10-30,BUY,1,31.562,0
2024-10-31,HOLD,0,31.792,0
2024-11-01,BUY,1,30.969,1
2024-11-04,HOLD,0,31.851,1
